ScGl_data_id,Site,Year,Tag,Transect,X-coord(m),Y-coord(m),Degrees,Direction,Height(cm),Width(cm),Fl,Br,Minis,PhotoNumber,Comments,X_coord_old,Y_coord_old
2893,,2012,,,,,,,8.1,6.5,y,n,,,,0.7,22.1
2892,,2012,,,,,,,5.2,4.9,y,n,,,,0.1,14.1
9602,,2014,,,,,,,5.6,6.2,n,n,,,,,
9610,,2014,,,,,,,4.6,2.1,n,n,,,"hidden in grass, also in 5",,
9553,,2014,,,,,,,1.9,1.1,n,n,,,,,
9601,,2014,,,,,,,9.4,6.3,n,n,,,,,
10236,,2015,,,,,,,6.6,6,y,n,,,,,
10196,,2015,,,,,,,9,10.6,y,n,,,,,
11105,,2015,,,,,,,13,9.8,y,n,,,,,
2085,,2010,237,,,,,,5.3,6.7,y,n,,2815,"solitary - to SW",2.75,1
2083,,2011,237,,,,,,8.7,6.3,y,n,,3951,,2.75,1
2084,,2012,237,,,,,,8.1,6.4,y,n,,,,2.75,1
2087,,2010,237.01,,,,,,6.1,5.3,y,n,,2816,"closest to nail",2.75,1
2088,,2011,237.01,,,,,,6.1,5.8,y,n,,3952,,2.75,1
2086,,2012,237.01,,,,,,4.3,5.2,n,n,,,,2.75,1
2089,,2010,237.02,,,,,,6.5,5.4,y,n,,2817,"N of 237.1",2.75,1
2090,,2011,237.02,,,,,,6,6.4,y,n,,3952,,2.75,1
2091,,2012,237.02,,,,,,5.1,6.8,y,n,,,,2.75,1
2093,,2010,237.03,,,,,,7.4,5.8,y,n,,2817,clockwise,2.75,1
2094,,2011,237.03,,,,,,8,5.8,y,n,,3952,,2.75,1
2092,,2012,237.03,,,,,,4.4,5.6,y,n,,,,2.75,1
2097,,2010,237.04,,,,,,8.8,6.1,n,n,,2817,clockwise,2.75,1
2096,,2011,237.04,,,,,,7,5.5,y,n,,3952,,2.75,1
2095,,2012,237.04,,,,,,6.4,4.1,n,n,,,,2.75,1
2099,,2010,237.05,,,,,,4.8,6.2,y,n,,2817,clockwise,2.75,1
2100,,2011,237.05,,,,,,6,6.2,y,n,,3952,,2.75,1
2098,,2012,237.05,,,,,,4.1,5.7,y,n,,,,2.75,1
2075,,2010,278,,,,,,8.2,7.6,y,n,,,East,0.94,0.7
2074,,2011,278,,,,,,8.7,6.5,y,n,,3947,,0.94,0.7
2076,,2012,278,,,,,,11.4,7.7,y,n,,,,0.94,0.7
2079,,2010,278.01,,,,,,9.3,5.8,n,n,,,"West; damaged - rot?",0.94,0.7
2078,,2011,278.01,,,,,,9.6,4.9,n,n,,3945,,0.94,0.7
2077,,2012,278.01,,,,,,10,4.8,y,n,,,,0.94,0.7
2109,,2010,383,,,,,,8,9,y,n,,2822,,1,27.98
2108,,2011,383,,,,,,9.8,7.5,y,n,,3956,,1,27.98
2107,,2012,383,,,,,,8.4,7.3,y,n,,,,1,27.98
2082,,2010,724,,,,,,23.5,10,y,n,,2814,,0.11,4.12
2081,,2011,724,,,,,,18.5,9.5,y,n,,3950,,0.11,4.12
2080,,2012,724,,,,,,17,8.2,y,n,,,,0.11,4.12
2067,,2010,744,,,,,,6.5,6.7,y,n,,2810,,0.15,26.53
2066,,2011,744,,,,,,6.4,6.7,y,n,,3953,,0.15,26.53
2065,,2012,744,,,,,,9.6,5.6,y,n,,,,0.15,26.53
2102,,2010,763,,,,,,5.5,6.7,y,n,,2818,,0.5,26.26
2103,,2011,763,,,,,,6,6.8,y,n,,3955,,0.5,26.26
2101,,2012,763,,,,,,3.2,6.4,n,y,3,,"+3 mini",0.5,26.26
2115,,2010,927,,,,,,9.1,8.5,y,n,,2824,"S of tag",0.23,11.64
2113,,2011,927,,,,,,11.6,7.5,y,n,,3957,,0.23,11.64
2114,,2012,927,,,,,,10.9,7.9,y,n,,,,0.23,11.64
2118,,2010,927.01,,,,,,5.2,4.9,n,n,,2825,,0.23,11.64
2116,,2011,927.01,,,,,,0.8,1.5,n,n,,3958,"axillary bud off from dead",0.23,11.64
2117,,2012,927.01,,,,,,4,2.1,n,n,,,,0.23,11.64
2063,,2010,940,,,,,,12.4,7.5,y,n,,2809,,0.9,27.67
2064,,2011,940,,,,,,10.5,7.7,y,n,,3954,,0.9,27.67
2062,,2012,940,,,,,,11,7.1,y,n,,,,0.9,27.67
2104,,2010,960,,,,,,9.9,6.4,y,n,,2821,,0.53,12.14
2105,,2011,960,,,,,,,,n,n,,,dead,0.53,12.14
2106,,2012,960,,,,,,,,n,n,,,dead,0.53,12.14
2112,,2010,963,,,,,,6,6.2,y,n,,2823,,0.04,12
2111,,2011,963,,,,,,6,5.1,n,n,,3959,,0.04,12
2110,,2012,963,,,,,,3.4,4.5,n,n,,,,0.04,12
2070,,2010,977,,,,,,9.3,6.8,y,n,,2812,"tag to S - furthest S",0.62,2.63
2068,,2011,977,,,,,,7.9,5.6,y,n,,3948,,0.62,2.63
2069,,2012,977,,,,,,5.4,5.8,y,n,,,,0.62,2.63
2071,,2010,977.01,,,,,,9.2,5.3,y,n,,2812,"tag to S",0.62,2.63
2073,,2011,977.01,,,,,,7.8,5.7,y,n,,3942,,0.62,2.63
2072,,2012,977.01,,,,,,4.7,5.5,y,n,,,,0.62,2.63
