Transect 2.4   Atwell Gulch_108,,,,,,,,,,,,,,,,,,,,,,
"1=Yes, 0=No",Date:,,,,,,,,,,,,,,,,,,,,,
,,,,,,2022,,2023,,,,,2024,,,,,,,,,
Tag Id (ignore - for upload),Tag,MySQL Transect ID,Transect,X-coord(m),Y-coord(m),Height (cm),Width (cm),Height (cm),Width (cm),Minis,Individual Plant Location,Comments,Height (cm),Width (cm),Fl (1/0),Br (1/0),Minis,Photo Number,Comments,Tag,ScGl_transect_id_old,old_pond_transect_id
446,185,19,2.4,0.1,6.63,0,0,0,0,,"tag at noon, SW 23 cm to tag",,,,,,,,,185,0,0
447,185.01,19,2.4,0.1,6.63,4.9,5.5,5.2,5.3,,"9o'c (tag at noon), tag 21cm ",,,,,,,,,185.01,0,0
448,185.02,19,2.4,0.1,6.63,,,,,,"clk from furthest from tag against rock, 4 'c, ",,,,,,,,,185.02,0,0
449,185.03,19,2.4,0.1,6.63,,,,,,,,,,,,,,,185.03,0,0
450,185.04,19,2.4,0.1,6.63,,,,,,"6 o'c, ",,,,,,,,,185.04,0,0
451,185.05,19,2.4,0.1,6.63,,,,,,"tag 14cm S, ",,,,,,,,,185.05,0,0
452,185.06,19,2.4,0.1,6.63,,,,,,"tag 16cm S, ",,,,,,,,,185.06,0,0
454,185.07,19,2.4,0.1,6.63,4.9,6.5,4.5,6.7,,"11'c, tag 17 cm SW to edge of plant, tag 21 SW",,,,,,,,,185.07,0,0
455,185.08,19,2.4,0.1,6.63,,,,,,"at base of 185.7, ",,,,,,,,,185.08,0,0
469,185.09,19,2.4,0.1,6.63,,,,,,"7o'c, ",,,,,,,,,185.09,0,0
470,185.1,19,2.4,0.1,6.63,,,,,,"12, ",,,,,,,,,185.1,0,0
471,185.11,19,2.4,0.1,6.63,,,,,,"1o'c, ",,,,,,,,,185.11,0,0
2581,185.13,19,2.4,0.1,6.63,,,,,,"tag 19cm SE, tag 21.5 cm SW",,,,,,,,,185.13,0,0
