"ScGl_data_id","Site","Year","Tag","Transect","X.coord.m.","Y.coord.m.","Degrees","Direction","Height.cm.","Width.cm.","Fl","Br","Minis","PhotoNumber","Comments","X_coord_old","Y_coord_old","Vol"
"4",1105,"Atwell Gulch_108",2009,185,"2.4",0.1,6.63,NA,NA,8.2,10.3,"y","n",NA,"1605, 1606","largest of 3; also photos 1607, 1608",0,0,683.247707469649
"5",1103,"Atwell Gulch_108",2010,185,"2.4",0.1,6.63,NA,NA,9.5,8.3,"y","n",NA,"900","No tag 186",0,0,514.007755026277
"6",1104,"Atwell Gulch_108",2011,185,"2.4",0.1,6.63,NA,NA,7.7,9,"y","n",NA,"3800","",0,0,489.852834510988
"7",1102,"Atwell Gulch_108",2012,185,"2.4",0.1,6.63,NA,NA,6.5,8.1,"y","n",NA,"","",0,0,334.944827753293
"8",6075,"Atwell Gulch_108",2013,185,"2.4",0.1,6.63,NA,NA,7.6,8.3,"y","n",NA,"","9 o'c",0,0,411.206204021022
"9",7748,"Atwell Gulch_108",2014,185,"2.4",0.1,6.63,NA,NA,8.1,9.5,"y","n",1,"","",0,0,574.14569239762
"10",9613,"Atwell Gulch_108",2015,185,"2.4",0.1,6.63,NA,NA,9.2,9.6,"y","n",2,"","",0,0,665.917111596121
"11",11354,"Atwell Gulch_108",2016,185,"2.4",0.1,6.63,NA,NA,7.5,8.4,"y","n",5,"","",0,0,415.63270806993
"12",1109,"Atwell Gulch_108",2009,185.01,"2.4",0.1,6.63,NA,NA,2.9,4.2,"n","n",NA,"","at baseof largest, close to transect line",0,0,40.1778284467599
"13",1106,"Atwell Gulch_108",2010,185.01,"2.4",0.1,6.63,NA,NA,2.7,3.6,"y","n",NA,"901","",0,0,27.4826525336035
"14",1108,"Atwell Gulch_108",2011,185.01,"2.4",0.1,6.63,NA,NA,2.1,4.2,"y","n",NA,"3800","",0,0,29.0942895648951
"15",1107,"Atwell Gulch_108",2012,185.01,"2.4",0.1,6.63,NA,NA,2.6,3.9,"y","n",NA,"","",0,0,31.0593557697155
"16",6076,"Atwell Gulch_108",2013,185.01,"2.4",0.1,6.63,NA,NA,4,4.3,"y","n",NA,"","6 o'c",0,0,58.0880481648753
"17",7749,"Atwell Gulch_108",2014,185.01,"2.4",0.1,6.63,NA,NA,3.1,4.6,"y","n",NA,"","",0,0,51.518977926219
"18",9614,"Atwell Gulch_108",2015,185.01,"2.4",0.1,6.63,NA,NA,4.7,5.4,"y","n",NA,"","",0,0,107.640389089947
"19",11355,"Atwell Gulch_108",2016,185.01,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"20",1111,"Atwell Gulch_108",2009,185.02,"2.4",0.1,6.63,NA,NA,1,0.5,"n","n",NA,"","tiny plants at base of large individual",0,0,0.196349540849362
"21",1110,"Atwell Gulch_108",2010,185.02,"2.4",0.1,6.63,NA,NA,0.5,0.3,"n","n",NA,"902","clockwise from furthest from tag against rock",0,0,0.0353429173528852
"22",1113,"Atwell Gulch_108",2011,185.02,"2.4",0.1,6.63,NA,NA,1.1,0.6,"n","n",NA,"3800","",0,0,0.31101767270539
"23",1112,"Atwell Gulch_108",2012,185.02,"2.4",0.1,6.63,NA,NA,1,0.5,"n","n",NA,"","",0,0,0.196349540849362
"24",6077,"Atwell Gulch_108",2013,185.02,"2.4",0.1,6.63,NA,NA,1.4,0.9,"n","n",NA,"","4 o'c",0,0,0.890641517292706
"25",7750,"Atwell Gulch_108",2014,185.02,"2.4",0.1,6.63,NA,NA,1.3,1.8,"n","n",NA,"","",0,0,3.30809706423005
"26",9615,"Atwell Gulch_108",2015,185.02,"2.4",0.1,6.63,NA,NA,2.2,2.6,"n","n",NA,"","",0,0,11.6804414860469
"27",11356,"Atwell Gulch_108",2016,185.02,"2.4",0.1,6.63,NA,NA,0,0,"n","n",NA,"","",0,0,0
"28",1115,"Atwell Gulch_108",2009,185.03,"2.4",0.1,6.63,NA,NA,1,0.5,"n","n",NA,"","tiny plants at base of large individual",0,0,0.196349540849362
"29",1114,"Atwell Gulch_108",2010,185.03,"2.4",0.1,6.63,NA,NA,0.5,0.3,"n","n",NA,"","all at base of largest",0,0,0.0353429173528852
